District,PresResult,TotalVote
Alabama-01,0.2454,329273
Alabama-02,0.5626,287394
Alabama-03,0.2929,311626
Alabama-04,0.1864,320344
Alabama-05,0.3622,345953
Alabama-06,0.3076,344936
Alabama-07,0.6458,292081
Alaska-00,0.4474,325090
Arizona-01,0.5075,445010
Arizona-02,0.46,410063
Arizona-03,0.7573,209789
Arizona-04,0.5525,340695
Arizona-05,0.4168,438083
Arizona-06,0.5004,433528
Arizona-07,0.6663,277488
Arizona-08,0.4314,386574
Arizona-09,0.3693,396676
Arkansas-01,0.2892,265379
Arkansas-02,0.4326,311033
Arkansas-03,0.3793,300382
Arkansas-04,0.3188,272356
California-01,0.4021,318851
California-02,0.7536,381069
California-03,0.4908,423370
California-04,0.6874,343088
California-05,0.4371,372058
California-06,0.5947,293274
California-07,0.6902,302117
California-08,0.7758,279129
California-09,0.5645,252677
California-10,0.701,371325
California-11,0.8803,353994
California-12,0.912,311795
California-13,0.5555,213832
California-14,0.7321,284643
California-15,0.7923,299814
California-16,0.771,336599
California-17,0.7419,259089
California-18,0.7252,231111
California-19,0.7026,367891
California-20,0.3728,321056
California-21,0.6037,195970
California-22,0.5661,169216
California-23,0.4497,267842
California-24,0.6488,343894
California-25,0.578,245813
California-26,0.602,338730
California-27,0.5632,304597
California-28,0.6744,324039
California-29,0.7623,229113
California-30,0.7354,332652
California-31,0.6585,260675
California-32,0.7077,342962
California-33,0.6295,238376
California-34,0.829,209497
California-35,0.6412,238826
California-36,0.7252,377599
California-37,0.8734,230680
California-38,0.654,288862
California-39,0.6335,231074
California-40,0.5095,383448
California-41,0.4945,356423
California-42,0.7348,242130
California-43,0.8262,218511
California-44,0.7467,245205
California-45,0.5316,318168
California-46,0.6554,213645
California-47,0.5566,354742
California-48,0.437,363524
California-49,0.5584,376871
California-50,0.6697,363322
California-51,0.6398,330861
California-52,0.6882,263503
Colorado-01,0.8136,357602
Colorado-02,0.7046,420627
Colorado-03,0.4577,397034
Colorado-04,0.4049,449879
Colorado-05,0.4475,361302
Colorado-06,0.6222,350713
Colorado-07,0.5729,433138
Colorado-08,0.5234,334229
Connecticut-01,0.6425,338762
Connecticut-02,0.5584,380707
Connecticut-03,0.5999,337799
Connecticut-04,0.6571,333785
Connecticut-05,0.5546,340455
Delaware-00,0.5963,504431
District of Columbia-00,0.9447,318048
Florida-01,0.3356,414359
Florida-02,0.4445,405739
Florida-03,0.4288,395603
Florida-04,0.4661,392247
Florida-05,0.42,430835
Florida-06,0.3806,437648
Florida-07,0.4719,422246
Florida-08,0.4108,456850
Florida-09,0.588,329132
Florida-10,0.6607,298048
Florida-11,0.4451,452920
Florida-12,0.3549,438911
Florida-13,0.4659,413994
Florida-14,0.5969,353264
Florida-15,0.4841,352311
Florida-16,0.4551,420449
Florida-17,0.4196,463589
Florida-18,0.3849,352751
Florida-19,0.3941,425249
Florida-20,0.7634,297956
Florida-21,0.4525,452963
Florida-22,0.5886,373963
Florida-23,0.5665,385247
Florida-24,0.7467,294273
Florida-25,0.6001,350747
Florida-26,0.4079,313582
Florida-27,0.4984,336189
Florida-28,0.4681,333026
Georgia-01,0.432,358717
Georgia-02,0.5522,313439
Georgia-03,0.3478,413406
Georgia-04,0.7919,306195
Georgia-05,0.8681,347442
Georgia-06,0.7502,371716
Georgia-07,0.4013,426554
Georgia-08,0.3605,342426
Georgia-09,0.3364,396026
Georgia-10,0.3925,409339
Georgia-11,0.3885,413002
Georgia-12,0.4486,345040
Georgia-13,0.705,360315
Georgia-14,0.3097,380855
Hawaii-01,0.6496,244684
Hawaii-02,0.6509,261673
Idaho-01,0.3037,468794
Idaho-02,0.3814,408787
Illinois-01,0.7148,322971
Illinois-02,0.703,293602
Illinois-03,0.7114,259371
Illinois-04,0.7365,207354
Illinois-05,0.7016,367091
Illinois-06,0.5554,359520
Illinois-07,0.8699,272787
Illinois-08,0.5785,302273
Illinois-09,0.7113,340523
Illinois-10,0.6318,323273
Illinois-11,0.5781,354221
Illinois-12,0.2822,366029
Illinois-13,0.5574,324134
Illinois-14,0.5585,328753
Illinois-15,0.3022,373548
Illinois-16,0.39,381445
Illinois-17,0.5399,308857
Indiana-01,0.5425,321784
Indiana-02,0.385,294060
Indiana-03,0.3472,314299
Indiana-04,0.3509,326379
Indiana-05,0.4187,361750
Indiana-06,0.3369,318676
Indiana-07,0.7157,266392
Indiana-08,0.3327,326281
Indiana-09,0.3607,346704
Iowa-01,0.4853,415255
Iowa-02,0.4776,412140
Iowa-03,0.4983,414647
Iowa-04,0.3676,385491
Kansas-01,0.3486,303811
Kansas-02,0.4166,300790
Kansas-03,0.5227,389121
Kansas-04,0.3887,304320
Kentucky-01,0.283,337609
Kentucky-02,0.3131,345313
Kentucky-03,0.6138,325945
Kentucky-04,0.3345,368020
Kentucky-05,0.1993,312733
Kentucky-06,0.4439,348449
Louisiana-01,0.3056,364847
Louisiana-02,0.6826,315084
Louisiana-03,0.285,330315
Louisiana-04,0.2502,331480
Louisiana-05,0.3286,328998
Louisiana-06,0.6002,302405
Maine-01,0.6173,421135
Maine-02,0.4686,385793
Maryland-01,0.4258,415905
Maryland-02,0.6062,384283
Maryland-03,0.6303,404726
Maryland-04,0.9119,277092
Maryland-05,0.6855,421549
Maryland-06,0.5502,379979
Maryland-07,0.8225,297364
Maryland-08,0.818,379498
Massachusetts-01,0.6105,372134
Massachusetts-02,0.6576,374603
Massachusetts-03,0.64,349592
Massachusetts-04,0.645,396493
Massachusetts-05,0.7599,366441
Massachusetts-06,0.6405,423145
Massachusetts-07,0.8672,274656
Massachusetts-08,0.6803,383882
Massachusetts-09,0.5926,449552
Michigan-01,0.3996,478272
Michigan-02,0.3565,433871
Michigan-03,0.5433,419016
Michigan-04,0.4799,426171
Michigan-05,0.3771,414924
Michigan-06,0.6351,457935
Michigan-07,0.5027,454729
Michigan-08,0.5103,427167
Michigan-09,0.3506,480231
Michigan-10,0.495,430458
Michigan-11,0.6005,454154
Michigan-12,0.7455,369824
Michigan-13,0.7508,329238
Minnesota-01,0.453,379904
Minnesota-02,0.5367,415897
Minnesota-03,0.607,414348
