ElectionType,Election,GeographyType,Geography,Poll,DateStart,DateEnd,SampleSize,SampleType,Democrat,Republican
Presidential,Presidential,National,National,Zogby,11/2/2024,11/3/2024,1005,LV,49%,46%
Presidential,Presidential,National,National,Research Co.,11/2/2024,11/3/2024,1003,LV,48%,46%
Presidential,Presidential,National,National,Reuters/Ipsos,11/1/2024,11/3/2024,973,LV,50%,48%
Presidential,Presidential,National,National,TIPP,11/1/2024,11/3/2024,1411,LV,48%,48%
Presidential,Presidential,National,National,Patriot Polling,11/1/2024,11/3/2024,1115,RV,49%,48%
Presidential,Presidential,National,National,AtlasIntel,11/1/2024,11/2/2024,2463,LV,48%,50%
Presidential,Presidential,National,National,Marist Poll,10/31/2024,11/2/2024,1297,LV,51%,47%
Presidential,Presidential,National,National,HarrisX/Forbes,10/31/2024,11/2/2024,3759,LV,51%,49%
Presidential,Presidential,National,National,NBC News,10/30/2024,11/2/2024,1000,RV,49%,49%
Presidential,Presidential,National,National,Emerson College,10/30/2024,11/2/2024,1000,LV,49%,49%
Presidential,Presidential,National,National,ActiVote,10/27/2024,11/2/2024,1000,LV,49%,50%
Presidential,Presidential,National,National,AtlasIntel,11/1/2024,11/2/2024,2463,LV,47%,49%
Presidential,Presidential,National,National,ABC News,10/29/2024,11/1/2024,2267,LV,49%,46%
Presidential,Presidential,National,National,Kaplan Strategies,10/31/2024,10/31/2024,671,RV,47%,48%
Presidential,Presidential,National,National,AtlasIntel,10/30/2024,10/31/2024,3490,LV,48%,50%
Presidential,Presidential,National,National,Morning Consult,10/29/2024,10/31/2024,8918,LV,49%,47%
Presidential,Presidential,National,National,Echelon Insights,10/28/2024,10/31/2024,1328,LV,49%,47%
Presidential,Presidential,National,National,AtlasIntel,10/30/2024,10/31/2024,3490,LV,47%,49%
Presidential,Presidential,National,National,TIPP,10/28/2024,10/30/2024,1265,LV,48%,48%
Presidential,Presidential,National,National,American Pulse Research & Polling,10/28/2024,10/30/2024,822,LV,49%,47%
Presidential,Presidential,National,National,RABA Research,10/29/2024,10/29/2024,781,LV,48%,44%
Presidential,Presidential,National,National,HarrisX/Forbes,10/27/2024,10/29/2024,3718,LV,51%,49%
Presidential,Presidential,National,National,TIPP,10/27/2024,10/29/2024,1302,LV,48%,47%
Presidential,Presidential,National,National,YouGov/The Economist,10/26/2024,10/29/2024,1310,LV,49%,47%
Presidential,Presidential,National,National,AtlasIntel,10/25/2024,10/29/2024,3032,LV,48%,50%
Presidential,Presidential,National,National,TIPP,10/26/2024,10/28/2024,1291,LV,48%,47%
Presidential,Presidential,National,National,Rasmussen Reports,10/24/2024,10/28/2024,2369,LV,46%,48%
Presidential,Presidential,National,National,Morning Consult,10/25/2024,10/27/2024,8807,LV,50%,47%
Presidential,Presidential,National,National,Noble Predictive Insights,10/23/2024,10/27/2024,707,LV,49%,46%
Presidential,Presidential,National,National,Cygnal,10/24/2024,10/26/2024,1507,LV,50%,47%
Presidential,Presidential,National,National,CBS News/YouGov,10/23/2024,10/25/2024,2154,LV,50%,49%
Presidential,Presidential,National,National,TIPP,10/23/2024,10/25/2024,1333,LV,48%,48%
Presidential,Presidential,National,National,YouGov/Cooperative Election Study,10/1/2024,10/25/2024,48732,LV,51%,47%
Presidential,Presidential,National,National,Emerson College,10/23/2024,10/24/2024,1000,LV,49%,49%
Presidential,Presidential,National,National,Rasmussen Reports,10/21/2024,10/24/2024,2745,LV,48%,47%
Presidential,Presidential,National,National,TIPP,10/22/2024,10/24/2024,1357,LV,49%,47%
Presidential,Presidential,National,National,ActiVote,10/19/2024,10/24/2024,1000,LV,50%,50%
Presidential,Presidential,National,National,TIPP,10/21/2024,10/23/2024,1260,LV,50%,47%
Presidential,Presidential,National,National,NYTimes/Siena College,10/20/2024,10/23/2024,2516,LV,48%,48%
Presidential,Presidential,National,National,CNN,10/20/2024,10/23/2024,1704,LV,47%,47%
Presidential,Presidential,National,National,Big Village,10/18/2024,10/23/2024,1592,LV,52%,45%
Presidential,Presidential,National,National,Clarity Campaign Labs,10/17/2024,10/23/2024,1314,LV,50%,46%
Presidential,Presidential,National,National,ABC News,10/18/2024,10/22/2024,1913,LV,51%,47%
Presidential,Presidential,National,National,HarrisX/Forbes,10/21/2024,10/22/2024,1244,LV,49%,51%
Presidential,Presidential,National,National,TIPP,10/20/2024,10/22/2024,1294,LV,49%,47%
Presidential,Presidential,National,National,YouGov/The Economist,10/19/2024,10/22/2024,1293,LV,49%,46%
Presidential,Presidential,National,National,Wall Street Journal,10/19/2024,10/22/2024,1500,RV,46%,49%
Presidential,Presidential,National,National,Rasmussen Reports,10/17/2024,10/22/2024,1855,LV,46%,49%
Presidential,Presidential,National,National,Redfield & Wilton Strategies,10/21/2024,10/21/2024,1161,LV,45%,47%
Presidential,Presidential,National,National,TIPP,10/19/2024,10/21/2024,1268,LV,48%,48%
Presidential,Presidential,National,National,YouGov,10/18/2024,10/21/2024,1189,LV,48%,45%
Presidential,Presidential,National,National,Reuters/Ipsos,10/16/2024,10/21/2024,3307,LV,48%,45%
Presidential,Presidential,National,National,Morning Consult,10/18/2024,10/20/2024,8570,LV,50%,46%
Presidential,Presidential,National,National,TIPP,10/18/2024,10/20/2024,1244,LV,47%,48%
Presidential,Presidential,National,National,CNBC,10/15/2024,10/19/2024,1000,LV,46%,48%
Presidential,Presidential,National,National,Suffolk University,10/14/2024,10/18/2024,1000,LV,50%,49%
Presidential,Presidential,National,National,AtlasIntel,10/12/2024,10/17/2024,4180,LV,48%,51%
Presidential,Presidential,National,National,ActiVote,10/9/2024,10/17/2024,1000,LV,49%,51%
Presidential,Presidential,National,National,AtlasIntel,10/12/2024,10/17/2024,4180,LV,48%,51%
Presidential,Presidential,National,National,Emerson College,10/14/2024,10/16/2024,1000,LV,49%,48%
Presidential,Presidential,National,National,Rasmussen Reports,10/13/2024,10/16/2024,2108,LV,48%,48%
Presidential,Presidential,National,National,TIPP,10/13/2024,10/15/2024,1248,LV,50%,46%
Presidential,Presidential,National,National,YouGov/The Economist,10/12/2024,10/15/2024,1230,LV,49%,45%
Presidential,Presidential,National,National,Rasmussen Reports,10/10/2024,10/15/2024,2049,LV,47%,48%
Presidential,Presidential,National,National,Fox News,10/11/2024,10/14/2024,1110,RV,48%,50%
Presidential,Presidential,National,National,FDU,10/8/2024,10/14/2024,806,RV,50%,47%
Presidential,Presidential,National,National,Morning Consult,10/11/2024,10/13/2024,8647,LV,50%,46%
Presidential,Presidential,National,National,Harvard/Harris,10/11/2024,10/13/2024,3145,RV,51%,49%
Presidential,Presidential,National,National,CBS News,10/8/2024,10/11/2024,2719,LV,51%,48%
Presidential,Presidential,National,National,Marist Poll,10/8/2024,10/10/2024,1401,LV,52%,47%
Presidential,Presidential,National,National,RMG Research,10/7/2024,10/10/2024,2995,LV,50%,47%
Presidential,Presidential,National,National,Co/efficient,10/6/2024,10/8/2024,2180,LV,49%,47%
Presidential,Presidential,National,National,ABC News,10/4/2024,10/8/2024,1714,LV,50%,48%
Presidential,Presidential,National,National,NBC News,10/4/2024,10/8/2024,1000,RV,48%,48%
Presidential,Presidential,National,National,ActiVote,10/3/2024,10/8/2024,1000,LV,49%,51%
Presidential,Presidential,National,National,NBC News,10/4/2024,10/8/2024,1000,RV,46%,47%
Presidential,Presidential,National,National,Morning Consult,10/4/2024,10/6/2024,11353,LV,51%,46%
Presidential,Presidential,National,National,Research Co.,10/4/2024,10/6/2024,1001,LV,49%,45%
Presidential,Presidential,National,National,NYTimes/Siena College,9/29/2024,10/6/2024,3385,LV,49%,46%
Presidential,Presidential,National,National,I&I/TIPP,10/2/2024,10/4/2024,997,LV,49%,46%
Presidential,Presidential,National,National,Big Village,10/2/2024,10/4/2024,755,LV,50%,46%
Presidential,Presidential,National,National,Yahoo News,10/2/2024,10/4/2024,1714,A,48%,46%
Presidential,Presidential,National,National,Data for Progress,10/2/2024,10/3/2024,1211,LV,49%,46%
Presidential,Presidential,National,National,RMG Research,9/30/2024,10/3/2024,2965,LV,49%,49%
Presidential,Presidential,National,National,Rasmussen Reports,9/26/2024,10/2/2024,1762,LV,47%,49%
Presidential,Presidential,National,National,ActiVote,9/25/2024,10/2/2024,1000,LV,51%,49%
Presidential,Presidential,National,National,Emerson College,9/29/2024,10/1/2024,1000,LV,50%,48%
Presidential,Presidential,National,National,YouGov/The Economist,9/29/2024,10/1/2024,1261,LV,49%,46%
Presidential,Presidential,National,National,Marist College,9/27/2024,10/1/2024,1294,LV,50%,48%
Presidential,Presidential,National,National,Susquehanna,9/23/2024,10/1/2024,1001,LV,49%,44%
Presidential,Presidential,National,National,Morning Consult,9/27/2024,9/29/2024,11381,LV,51%,46%
Presidential,Presidential,National,National,Léger,9/27/2024,9/29/2024,851,LV,51%,47%
Presidential,Presidential,National,National,Outward Intelligence,9/22/2024,9/26/2024,1735,LV,53%,47%
Presidential,Presidential,National,National,Echelon Insights,9/23/2024,9/25/2024,1005,LV,52%,45%
Presidential,Presidential,National,National,Big Village,9/23/2024,9/25/2024,1524,LV,50%,46%
Presidential,Presidential,National,National,Rasmussen Reports,9/22/2024,9/25/2024,1820,LV,46%,48%
Presidential,Presidential,National,National,YouGov/The Economist,9/21/2024,9/24/2024,1220,LV,49%,46%
Presidential,Presidential,National,National,Clarity Campaign Labs,9/19/2024,9/24/2024,1000,LV,51%,44%
Presidential,Presidential,National,National,Reuters/Ipsos,9/21/2024,9/23/2024,785,LV,50%,44%
Presidential,Presidential,National,National,Morning Consult,9/20/2024,9/22/2024,11057,LV,50%,45%
Presidential,Presidential,National,National,Quinnipiac,9/19/2024,9/22/2024,1728,LV,47%,48%
